filename,n_redactions
00400.txt,38
00401.txt,4
00402.txt,23
00403.txt,1
00404.txt,63
00405.txt,24
00406.txt,1
00407.txt,2
00408.txt,8
00409.txt,0
00410.txt,73
00411.txt,9
00412.txt,3
00413.txt,5
00414.txt,11
00415.txt,2
00416.txt,10
00417.txt,3
00418.txt,7
00419.txt,23
00420.txt,26
00421.txt,28
00422.txt,3
00423.txt,0
00424.txt,11
00425.txt,19
00426.txt,3
00427.txt,6
00428.txt,17
00429.txt,6
00430.txt,0
00431.txt,50
00432.txt,13
00433.txt,10
00434.txt,20
00435.txt,8
00436.txt,20
00437.txt,4
00438.txt,11
00439.txt,0
00440.txt,2
00441.txt,0
00442.txt,0
00443.txt,1
00444.txt,4
00445.txt,3
00446.txt,0
00447.txt,6
00448.txt,17
00449.txt,6
00450.txt,0
00451.txt,5
00452.txt,16
00453.txt,3
00454.txt,14
00455.txt,6
00456.txt,6
00457.txt,13
00458.txt,4
00459.txt,10
00460.txt,15
00461.txt,33
00462.txt,5
00463.txt,15
00464.txt,7
00465.txt,10
00466.txt,19
00467.txt,24
00468.txt,33
00469.txt,39
00470.txt,15
00471.txt,7
00472.txt,21
00473.txt,26
00474.txt,6
00475.txt,2
00476.txt,21
00477.txt,2
00478.txt,45
00479.txt,4
00480.txt,31
00481.txt,9
00482.txt,12
00483.txt,12
00484.txt,6
00485.txt,21
00486.txt,4
00487.txt,9
00488.txt,3
00489.txt,56
00490.txt,3
00491.txt,13
00492.txt,1
00493.txt,3
00494.txt,37
00495.txt,6
00496.txt,4
00497.txt,12
00498.txt,0
00499.txt,1
00500.txt,2
00501.txt,7
00502.txt,0
00503.txt,11
00504.txt,15
00505.txt,29
00506.txt,11
00507.txt,0
00508.txt,7
00509.txt,15
00510.txt,23
00511.txt,16
00512.txt,2
00513.txt,0
00514.txt,16
00515.txt,2
00516.txt,55
00517.txt,1
00518.txt,4
00519.txt,5
00520.txt,2
00521.txt,15
00522.txt,0
00523.txt,0
